ID,exit,entry,Run,Frames
40,2587.0,1500.0,10,1087.0
41,2945.0,1835.0,10,1110.0
42,2499.0,1392.0,10,1107.0
43,2259.0,1210.0,10,1049.0
44,2516.0,1419.0,10,1097.0
45,3746.0,2551.0,10,1195.0
47,3993.0,2800.0,10,1193.0
48,4281.0,3071.0,10,1210.0
49,3606.0,2322.0,10,1284.0
5,3837.0,2364.0,10,1473.0
50,3201.0,1977.0,10,1224.0
51,3145.0,1930.0,10,1215.0
52,2880.0,1538.0,10,1342.0
53,2448.0,1387.0,10,1061.0
54,2207.0,1209.0,10,998.0
55,2061.0,1075.0,10,986.0
58,3505.0,2308.0,10,1197.0
59,3216.0,2078.0,10,1138.0
6,4373.0,2778.0,10,1595.0
60,3589.0,2104.0,10,1485.0
61,3011.0,1681.0,10,1330.0
62,3076.0,1814.0,10,1262.0
63,2684.0,1382.0,10,1302.0
64,2321.0,1308.0,10,1013.0
65,2256.0,1252.0,10,1004.0
66,1984.0,917.0,10,1067.0
67,4038.0,2801.0,10,1237.0
68,4654.0,3092.0,10,1562.0
69,3572.0,2442.0,10,1130.0
70,3855.0,2618.0,10,1237.0
71,4057.0,2806.0,10,1251.0
72,3904.0,2400.0,10,1504.0
73,3710.0,2460.0,10,1250.0
74,2950.0,1663.0,10,1287.0
75,2798.0,1459.0,10,1339.0
76,2136.0,1140.0,10,996.0
77,2405.0,1288.0,10,1117.0
78,4337.0,3078.0,10,1259.0
8,3495.0,2148.0,10,1347.0
81,4711.0,3150.0,10,1561.0
82,4193.0,2781.0,10,1412.0
83,3076.0,1969.0,10,1107.0
84,3682.0,2164.0,10,1518.0
85,3305.0,1870.0,10,1435.0
86,2191.0,1169.0,10,1022.0
87,2784.0,1435.0,10,1349.0
88,2065.0,998.0,10,1067.0
89,3962.0,2632.0,10,1330.0
9,2971.0,1659.0,10,1312.0
91,4128.0,2938.0,10,1190.0
95,4491.0,2862.0,10,1629.0
96,2967.0,1693.0,10,1274.0
